event_name,date,location,lat,lon,lat_dest,lon_dest
"Band visit to Kaua’i, Hawai’i","August 16, 2013",Band concert at Kukui Grove Center,21.9732361,-159.3675874,34.9321689,135.7785686
"Band visit to Kaua’i, Hawai’i","August 16, 2013",Band concert at Kukui Grove Center,33.841003,-118.0403169,34.9321689,135.7785686
"Band visit to Kaua’i, Hawai’i","August 16, 2013",Band concert at Kukui Grove Center,53.9954652,-1.54397,34.9321689,135.7785686
"Band visit to Kaua’i, Hawai’i","August 16, 2013",Band concert at Kukui Grove Center,33.735556,-84.389444,34.9321689,135.7785686
"Band visit to Kaua’i, Hawai’i","August 16, 2013",Band concert at Kukui Grove Center,25.0370489,121.5166611,34.9321689,135.7785686
